Tweet-text,Uniqueness
"@beloved_june Maybe it’ll happen for you, who knows.  I’m 10-11 years in and really starting to have fun in life.",Non-literary
"@marinasmigielsk Yeah.....so cool... Good for you, who gives a shit, you didn't provide any proof.... Just gave some silly made up titles for crazy liberals...",Literary
"@laurenboebert Hey Bobo, the people that want to come here could make significant contributions to our country as previous immigrants have. Of course, there are exceptions to this, e.g., people like you who are very unproductive.",Literary
"de: anônimo 
para: @sIipipoca 

i say it's you who wipe my tears and brings the light into my darkness",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year TheNotoriousHRT 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/4ADkmcfbSR https://t.co/2z2nEQ1ByL",Literary
"“Come to me all you who are weary and burdened and I will give you rest. Take my yoke upon you and learn from me for I am gentle and humble of heart and you will find rest for your souls. For my yoke is easy and my burden is light.”
- Matthew 11:28-30",Literary
@EngelsFreddie @Sethrogen Does that mean you’re a moron for trying to correct someone on social media only to find out that it’s you who doesn’t know what they’re talking about?  Maybe actually use your brain before trying to be “smart” next time lol…,Non-literary
"@beakemi Sometimes it's hard to open up to people. They might listen but (some of them) will not understand (the pain).

But it's always great to know that there are still people like you who are willing to listen. That's a huge help. 😊",Literary
"@luvyouneighbor @johnpavlovitz I am a Christian, you're lying again.  I rebuke homophobes, people like you who do not follow Christ's teachings on anything.  You are lying again.  Don't you know that telling lies is a sin?",Literary
the stars would be so proud to know that their atoms created someonelike you who manages to complement you in every way,Literary
"✨ Stolen Kiss

bananabiemilk would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/O7JSCjON46 https://t.co/5aSOhhUBj9",Literary
"“When someone shows you who they are, believe them the first time.” Right @GovStitt?

https://t.co/RluambbuHN",Literary
"✨ Stolen Kiss

sebhersey would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/a2ZVqSGIOs https://t.co/fYOsJtqBUS",Literary
"@JustinCarterW @Amalutmani @JustinTrudeau @francoislegault @jjhorgan @fordnation @FureyAndrew And yes, I’m frustrated with people like you, who just want to blame Justin for taking care of Canadians while giving conservative premiers like kenney and Ford a free pass",Literary
@CawthornforNC did you really bring a knife to a school board meeting? the hell is wrong with you? who raised you?,Literary
@NPR Same thing with so many cases. It’s you who don’t cover it so maybe start covering your or learning from the independent reporters that do.,Non-literary
Ohh ahhh look at you who claimed to be not sexually interested in no genders. Ohh ahh look at you now. How does it feels? Sweet like honey. Smooth like butter. Get it let it roll~,Literary
@amyphanwest Good luck. We need more people like you who understand what it's like where we are headed.,Literary
"@IamKiraJ ""Even tho I have birth to you, it's actually you who gave life to me"" 
Words so meaningful and heart-felt😢
All I see is Greatness 👏🏼👏🏼🥰",Literary
@dreamingkass Nobody cares it’s not you who’s making the games.,Non-literary
@ElijahKyama We all remind you who’s on the wheel😂#Ole,Non-literary
@bUrNtOuT32 @Conserv11190902 @CodyIsAGoodBoy @DonaldJTrumpJr If it’s so effective and so great then me not having it shouldn’t effect you. Also you’re missing the point here bud. If I had the virus I do not need the vaccine because you who’s vaccinated and me who’s had the virus both have the same antibodies. Dummy.,Non-literary
"[Giveaway]

🏖 ""catlandia"" is open 🏖
Come get some DIYs or items you don’t have! Please be mindful of others behind you who want some too.

Shops are open, f...

Join here 👉 https://t.co/tupbzL97d3

#ACNH #ACNHgiveaway #ACNHtrade",Literary
Excujeu me. But it takes me exactly 32 minutes to get to you. Who do I need to come give a kiss to? Because this just made me fragile. KSC is ARMY https://t.co/W2gj7JiM5j https://t.co/mNYvWj12Xi,Non-literary
i’m a sophomore in college who has alot of labs to conduct and report and a coding class that takes up me whole weekend but yet and still i take the time out my day to stream and maintain a’s and high b’s unlike you who is projecting https://t.co/pZT51QmBsa,Literary
@valensrutagengw @OtimMichael @aimarulinda @brendamutesi3 @LucyHockingsBBC @ckanimba @BBCWorld @freethehero @ahbobin @shinani1 @DavidHimbara @JudiRever @AnaiseKanimba @kittykurth @JaynieMarie See how many people calling his freedom and How many are you who want to deny his rights then come back with your research.,Literary
@kimmybtw you think you who,Non-literary
"@BusyElonMusk @HogeFinance @HogeMarketing is that you who put hundreds of hours of work for free to improve hoge project token?
doesn't seems like
who are you and what have you done for this community project?
where is your value in this project?
what is your purpose?
bitching isn't a purpose in a community project.",Literary
"Here’s a song for you… Who Will Comfort Me by Melody Gardot
https://t.co/d7BbzpAs9t",Non-literary
"@JeffTheGK @thegkonline Galatians 6:1a
Brethren, even if anyone is caught in any trespass, you who are spiritual, restore such a one in a spirit of gentleness;",Literary
"@ZorroTheAvenger @AliBeckZeck Says you who got 2 ""experimental jabs"" and has no clue what's in the jab. You got those longitudinal studies for the safe and effective jab. Nope cuz there isn't any. You know what was in that jab? Nope you have no clue. But you have ""been assimilated""",Literary
"Jika tidak ingin disakiti orang lain, jangan beri atau terima apapun (You Who Come From The Star)",Non-literary
"I've said it before and I'll say it again. Susan 👏 fucking 👏 Collins. Or . . . when someone shows you who they are the first, second, and third time, believe them. #SusanCollinsIsAHypocrite https://t.co/k0A8CKpCuD",Literary
"Saved my life, saying “not you.” Who in despite of view is pleased to dote.",Non-literary
"For you who are sad to read the Bible's description of #animal #sacrifices.
#Jesus brought complete #peace to the present day on the cross. So you never have to kill #animals with human hands forever.
Today the animals are our friends!
#Bible #Vegan #vegetarian #Love #Sacrifice",Literary
"✨ Stolen Kiss

lixpetistt would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/pnVmhOk0dc https://t.co/e1WjOB0Uvn",Literary
"I know I am in no position to say anything right now, but still, let me say this— What do you even know about Doppo?! He tries his best with his life! And yet, you, who knows nothing is running his mouth… I don’t want to hear it!",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year shivxnr 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/AlkA5RGi9P https://t.co/6Kkz1kj5Hq",Literary
"you who swallowed a falling star, o heartless man, your heart shall soon be mine.",Literary
"@GovPritzker You are friends w educators. Have you asked why schools teach that USA is a horrible place? 

Do you want to right wrongs &amp; improve outcomes in actuality? #Illlinois If not you, who?

I've tried to speak to you for yrs. I've seen how schools are up close. Ru there?",Non-literary
I wish maps tell you who’s gas is cheaper,Non-literary
"Keep make friends those who happy with your success who support you in worse 
Stay away with those  who make fun at you who jealous &amp; insult you as a joke  
.
.
#Friends",Literary
"@Nathan__Dee its people like you who are snakes, defending the oppressors and turning against those fighting for you. What is special about Afrikaans? The most spoken native language is Zulu followed by Xhosa so what is special about Afrikaans not San?",Literary
"You who swallowed a falling star, oh heartless man. Your heart shall soon belong to me.",Literary
"@ThomsenTN @djuggler @timburchett @GovBillLee I love Nashville, and Tennessee. That's why I find political operatives like you, who think that big business growth and people moving here is more important than the suffering endured by more than one in ten of our citizens so gross. If we're well governed, why is it a problem?",Literary
@thehill True colors on display.  Belive her when she shows you who she is.,Literary
"@RonFilipkowski When someone tells you who they are, believe them!",Literary
@elliotxd_ like i mean look at you!!! who wouldn't flirt with you,Non-literary
"@br_betting i can tell you who’s won me the most money, Utah st and Michigan st",Non-literary
@kk131066 Your Watching 👀👀👀👆Facts PPL 👆”Let’s If You Agree PLZ Share What You Just 👀👀👀Ed With EveryOne PLZ???THKU To All Of You Who 👀👀👀Ed This Videoclip👆‼️‼️‼️‼️,Non-literary
@alisa2s @TheTxPundit @ZJustzed Oh but honey it'll be you who stays home. What happens when you can't go into a grocery store sans a negative test or vaccine card?,Literary
"@John_msee @ztlorance @TheRobotBuddha @KLWalpole14 @Schreiberland No, the proof is on you to explain your fanciful conclusions. Not on me saying your talking nonsense but on you who believe such unprovable silly dreamy bullshit.",Literary
"""If not you, who? If not now, when?""
I don't know. Someone else. Later. Hey, you asked!",Non-literary
ayoooo the new update tells you who visited your profile 🤭,Literary
"Be aroud people who believes in your dreams, who encourages you, who lift you higher It makes you want to push yourself more. It feels good to have that “cheerleader” someone who has our back.",Literary
"When someone shows you who they are, believe them. 🤷🏻‍♀️",Literary
It doesn’t mean that there’s something wrong with you or that you’re being the wrong way—it just means those particular people don’t fit with you &amp; who you are.,Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year Lan9i3 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/lofooTXZD8 https://t.co/b6grsKPWgJ",Literary
@1MohamedOmar @MofaSomalia Do they  told  to you who  kil you father bos,Non-literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year iOSAMUB0T 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/SJFr37VuyA https://t.co/aWlcyfchLv",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year tehreenao 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/qQTrG2iC8x https://t.co/ELninsyUKv",Literary
"I want to try that effect that tells you who you look like, only fr it to tell me I look like sloth from the goonies, you guys know what that effect is?",Literary
"The best leaders aren’t the ones constantly reminding you who they are. They aren’t the ones always looking for photo ops, talking the loudest/most, seeking out opps to be seen instead of leading. Being a leader isn’t about everyone (esp outside of your org) knowing who you are.",Literary
"Chasing perfection isn't the goal, your growth journey is about pursuing the woman that lives inside you who is waiting to be discovered. You're going after her.  
She's worth it.✨

#confidenceforwomen #confidentwomen #confidencecoaching #confidentwomenglow
#confidencemindset",Literary
"@luvyouneighbor @johnpavlovitz Cuz folks like you always stop  reading Romans too soon:
2 You, therefore, have no excuse, you who pass judgment on someone else, for at whatever point you judge another, you are condemning yourself, because you who pass judgment do the same things.",Literary
"@DaZacklol 

""You who tf-""",Non-literary
@JaksMimi2 Emma ! Love and prayers for you. Sister ! 🙏🙏❤️❤️You are brave and strong ! You have the Lord with you who keep you strong in Him !,Literary
"@jeaniew333 @Kokomothegreat No I was saying that about you who were willing to jump off a cliff because someone told you to cherish the life that you have, as opposed to looking forward to something that doesn't exist. The survival of the fittest comment was to you, specifically. Lemming.",Literary
@Emsrsue tis YOU who are sweet😘😘😘,Literary
@ItsBradShepard One of the real issues with dealing with actual racism in this country are idiots like you who use the racism card as some kind of weapon. You don't like AEW so this is your latest sword,Literary
"“But for you who fear My Name, the Sun of Righteousness will rise with healing in His wings. And you will go free, leaping with joy like calves let out to pasture. ~ Malachi 4:2 NLT https://t.co/OVvgnQyzda",Literary
"If not Now, When? 
If not you, Who?",Non-literary
@Lotu5__ But like what’s wrong with ppl seeing you who gives a fuck what they think!!! wat is it that y’all do not want to be seen??,Literary
"@Snixtysnixt Everyone got their own preferences, and that is cool. But loool why generalise when its YOU who prefers it😂😂😂",Literary
"@3DIian lol
I can’t remember ever having it as a kid (maybe I did 🤷🏻‍♀️). I just had some now and 😬.

Hey, more for you and all you who love it 😅. I’m good with that!",Literary
@myalyn8 Theyre transition TO love their self and be happy with themselves. no one enjoys to see them suffer other then people like you who are for some reason filled with hate. It’s worse being trapped as someone they don’t wanna be I don’t see why it bothers you sm,Literary
@MeghanMcCain @DailyMail When a person. Shows you who they are.....believe them....,Literary
"after 4 weeks of being asked “what social identities make you who you are” in this pluralism class, i was the first person to finally bring up fatphobia in discussion. it is a massive part of my life and, frankly, all of our lives and i wish we could talk ab it more openly.",Literary
"once it's gone, it's gone and you'll never get that back. Just think of all the people who are around you, who love you, who look after you.

How would they feel if they knew you were gone?.",Literary
@myerswastaken Niblings you better calm yourself before I show you who’s boss,Non-literary
"✨ Stolen Kiss

vyisu would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/v8l36FDJw3 https://t.co/oEk1vT40Jd",Literary
"When someone shows you who they are, listen. https://t.co/Ldrz04gUrV",Literary
"When these sad memories transcend time and space, and become permanently engraved, you, who have accepted them all without hesitation, are my angel of light",Literary
@BenopaOnyx1 @UncleWizbid Me den you who no dey like dey take pics? 😂,Literary
"ㅤ

   ▬▬▬▬▬ ❛ ᴜᴘɢʀᴀᴅᴇᴅ ᴏʀɪɢɪɴᴀʟ ᴠᴀᴍᴘɪʀᴇ⠅
         ㅤ     / “Whiskey tells you who’s real and who isn’t.” /

ㅤㅤㅤ━━━━━   ₁Vampires consumed by their own bloodlust, possess little to no control, usually mass murderers
         
        :･ﾟRT ↻ ♥ https://t.co/0DBnUaToGK",Non-literary
"@Soda_hunter @AEW Ha no, they sell tickets before hand and tell you who’s going to be there",Non-literary
"It’s not the slippery road, it’s you who don’t get a good grip.",Non-literary
@monicabridget21 THE GREATIST GUITAR/ROCK AND BLUE PLAYER OF ALL TIMES. f- YOU WHO DON'T AGRRE WITH HIM.  WAS IN BED FOR A WEEK AFTER MY 2ND DOSE.,Non-literary
"HE WOULD HAVE BEEN WITH YOU WHO WAS WORSHIPPED IN JERUSALEM.,THOSE CAPTIVES WHO NEEDS HELP TO RETURN, THEIR NEIGHBORS SHOULD BE GIVEN MONEY,GOLD, PROPERTY,AND ANIMALS FOR THE SACRIFICES TO THE LORD GOD IN THE TEMPLE OF JERUSALEM.,THEN THE LEADERS OF THE HOUSE OF JUDAH AND BENJAMI",Non-literary
Lemme remind you who put you on. 👌🏽 https://t.co/yKb8PWlvhX,Literary
"@DineshDSouza Yet you, who are even more corrupt, walk free.

That’s sad.",Literary
"Hey shut the FUCK up all of you. Who cares you assholes let people live and go entertain yourselves since you're … — ah, thank you so much. :) this is very true. people are just assholes for no reason. https://t.co/E38dreNXUx",Non-literary
That's you who can't keep a ole lady cause you keep fucking them friends huh,Non-literary
"GO BACK TO JERUSALEM AND BUILD AGAIN HIS TEMPLE OF THE LORD GOD OF ISRAEL.,HE WOULD HAVE BEEN WITH YOU WHO WAS WORSHIPPED IN JERUSALEM.,THOSE CAPTIVES WHO NEEDS HELP TO RETURN, THEIR NEIGHBORS SHOULD BE GIVEN MONEY,GOLD, PROPERTY,AND ANIMALS FOR THE SACRIFICES TO THE LORD GOD IN",Non-literary
"@asfan91 With ""fans"" like you, who needs rivals?",Literary
@IpseDixitCicero I love it because there are people like you who are willing to admit they didn't have all the information. It keeps me coming back. 💚🕊️,Literary
@6habio I'm simply repeating the essence of what the majority of the Uygur and rest of the Chinese population have to say about the situation. You are saying something different from that. It's you who is speaking over them.,Literary
@ONeillR12 @tdgarden @NHLBruinsSTH @NHLBruins @celtics By joke You referring to yourself RO ? By real fans you mean big and tough unlike you who is afraid of a 💉.,Literary
"@AlfDaMvp Appreciate you, who to get on it is a different issue lol 🤔",Literary
"The seats… in my life… how should I put this? I don’t want my heart to be affected by people who don’t have a place there. Does that sound cold? Well, I guess there are also guys like you who bring their own chair and take a seat.",Literary
"@HollyRorie @RealCandaceO You should stay out of this, Holly. It's people like you who messed Donald Trump up. I wonder if Donald consulted @Mike_pence. Sure, probably...Bad news.",Literary
"@DanielAndrewsMP there are other ways Dan.  Plandemic i more or less say, and its you who have made them angry, not a bloody virus that has now killed less people in this country since the vaccine roll-out, and there are more deaths from your safe and effective jab, there are other ways.",Literary
"The oil is flowing day and night yet,the money has gone for building stomach and buying for machines guns to kill citizens for it.
What leaders are you? Who are you going to govern after finishing them,it's great shame to such richest states with no prefect government 🇸🇸🇸🇸 https://t.co/ur7HgDOsLR",Non-literary
"@Gillstolemyride @JoshiBallVids @AtmosphereC22 @RathFGC @MrMidLife1 @geos9104 But I can see discords being really good if you can find a group of people like you who want to play sets often as you can have a consistent idea of how you're improving

It's like how arcades were but with more people / info. Probably too much at times though",Literary
"@Mitchie02435305 @MeidasTouch @IAmPoliticsGirl Fairly evident it’s you who is being defensive and cannot handle feedback. It isn’t meant for you, so no need to defend.",Literary
"@Dr_Hb7 @palliddh @drogon_dracarys @MattBinder Israel doesn't bomb civilians. It bombs Hamas and Jihadi targets and gives warning to avoid civilians. It's people like you who expect Israel not to attack Hamas and therefore endanger its own civilians, or have 100% success avoiding civilians. That's a unique standard .",Literary
"Better to mind your own business and not to mind the issues. Just live life to the fullest and live it to God. Anything goes says and anything wrong. Keep smiling. Besides they are not feeding you. Who cares!! Good morning 😘
#altercdo",Non-literary
You’ll be just fine. There are many more just like you who will keep you company while you succumb to your fears &amp; paranoia rather than exercising critical thinking &amp; reasoned analytical process.  Justin has 32% of population who think just like you do.   Misery loves company. 😉 https://t.co/gTkhnlUwXN,Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year catseungmo 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/wM55mZdmE4 https://t.co/xXst6qnXbr",Literary
"I can see why Mia thought so highly of you. Who knows? A few years from now, you just might make it to the top. I owe you my thanks, Mr. Wright.",Non-literary
"The scent of fresh rain, and the scent of you, who is alive.",Literary
"I would like to hear your philosophy on loneliness. I won’t let you say you have none. You, who have stayed on this hill while watching the times flow by....
 
You must have some sort of fetishism around loneliness.",Literary
"@thebrittanyxoxo My dearest Brittany,
You are a beautiful person. With flaws (not many in my eyes but nobody's perfect) and issues but this makes you who you are. Your beautiful family makes you who you are. Thank you for sharing your life, that stunning body and your #milesofsmiles here with us",Literary
"""It's you who should be disappointed in me, mr C.""",Literary
"Hey ⁦@JimPatterson559⁩ you know what I am afraid of?  Politicians like you who are paid by LE to peddle false fear while our state is reeling from COVID-19, drought and lack of affordable housing.  As it stands, you will never have my vote. https://t.co/BySdRmBry5",Literary
@TimmyFallopian @luvadergolder @lose_mrs @CMoltzahn @DrAndrewSK @jkenney These triage protocols also apply to you Tim. Funny how you try to equate triage protocols as being the same as vaccine mandates. Once again you fail horribly. Try harder Tim it’s only you who looks like the fool that you are!😂😂,Literary
"you, whos stronger than anyone... you, who were once closer to me than anyone... you, who i once admired... you, the strongest of all, who im going to beat here.",Literary
I love you for you who are. As I know you love me. What a lovely pair we make. May love always triumph over ignorance.,Non-literary
But it’s you who I want…,Literary
@LuckyBonez Shame you? Who would ever want to shame you? You're beautiful 😍,Non-literary
It is I who feels privileged and humbled to be allowed to address amazing people like you who want to make a difference out there. https://t.co/y8iq3nx92B,Literary
@patches4dnf SAYS YOU WHO HAS A PISS KINK ??? /lh,Non-literary
Aure... Your eye.. Who did this to you? Who hurt you? I'll—You... You did this to yourself?,Non-literary
@joonscup But that’s the definition of presumably black people like you who are soo removed from their black ness that they participate in micro aggression like in this case discrediting black culture for some type of benefit they don’t even up getting a coon,Literary
"@ShelettaIsFunny @ShelettaIsFunny, we know you who cooking at the headquarters , so please excuse yourself from the invite 

(respectfully) 

Little divorce leaving  Tito’s for @grayduckspirits   I see you, maybe they should come down here to Texassssssss🤣🤣🤣 https://t.co/O0qJ0Llj3E",Literary
"@MichelletypoQ @amazon Whatever. Buy as much Amazon nail polish as you want 🙄 Amazon employees are pissing in bottles ready to serve you.

(Who the F orders ONE bottle of nail polish anyway?)",Non-literary
"O You who have believed, Bow and Prostrate(Sujood) &amp; worship your Lord and do Good - that you may succeed! 

Surat ul Hajj | Verse: 77",Literary
"Time will show you, who deserves your heart.",Literary
"@seraph76 @flightofsand Oh, you need to cry! So horrifying!

Actually, I find your attitude offensive, intolerant, hateful and utterly false. It is pseudointellectual nonsense makers like you who create antagonism and conflicts. Not me,my Asian girlfriend or this book.",Literary
This Thug officer is showing you who he is. Now do something about. Fire him quick. https://t.co/D2m9jNdBot,Literary
"In case you don’t see where the world is heading, let me tell you… find a niche, join a community of people as passionate as you who also want to learn hands on instead of going to uni and build the future with those anons! Bypass the boomers. #Bitcoin #btc #eth #Avalanche",Literary
"✨ Stolen Kiss

lixpetistt would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/vWFMGOgo6r https://t.co/8V1I6WqQdm",Literary
"@RSBNetwork You Sir, are part of the problem. You and those who like you who refuse to listen. You might feel that I’m a leftist; but, nothing could be further from the truth. It sad  to see the Republican Party go down the fascist rabbit hole. The party mirrors what it claims to resist.",Literary
@ViR6L @stousyy 💀💀 and he knows you? who r u again,Literary
"When someone shows you who they are, believe them, and remember it. https://t.co/8xdCEsk4eC",Literary
"@Rma13Fiona Absolutely! For me, supporting the club has always been an escape and I thoroughly love it. Just need to get used to this shower of shit opinions that comes with every draw/defeat though😅Thankfully, there are many (like you), who can balance it out the other way. So, all good.",Literary
@SubstanceD3 It was you who enlightened me about coffee right?,Literary
I find it difficult to understand how Democrats seem surprised at MM . When someone shows you who they are believe them https://t.co/Fp9yONgXYf,Literary
@dalee1203 What's wrong with Maine ? When someone shows you who they are believe them !  (Maya Angelou),Literary
"@DungeonMasterSc It's actually quite good, but an annotated version that tells you who all those obscure historical figures are is essential.",Literary
"To be a Duterte supporter 👊🏻 and Marcos loyalist ❤️ is okay.

To be an Aquino🎗️, Mama Leni 🍲, Manny 🥊, Isko 👆🏻 and Ping 👮🏻‍♂️ supporter is fine too.

You know what's not okay? To be a pa-woke where you need to cancel the people around you who do not support your political stance.",Literary
"@lindyli @MayoIsSpicyy She's a Republican. 

When someone shows you who they are, believe them the first time.

-Maya Angelou",Literary
"You’re a pretty bad person for saying this. You see, by calling her a “MAGA Brownshirt” you’re not merely slandering her, who can’t defend herself, but everyone who supported Trump in 2020. It is precisely people like you who are sowing hatred and division in America. https://t.co/6GEbJNHvA3",Literary
@GL0CK47 @saviorcardi Using an edit of a threat of a woman speaking about a tag being put on her head is disgusting.  TF is wrong with you?  Who adds music to that?  I mean really.,Non-literary
"(Jsyk: You /do/ have to understand it if you're trying to represent it in media. Or you have to have somebody with you, every step of the way, helping you, who does.

But to accept us and accommodate who we are, aside from that? You don't have to understand. Just do it anyway.)",Literary
"Fufu... Amazing as always, Kasumi. That's exactly the kind of thing that makes you who you are!",Literary
"@MarkKnochel @Chefvano @chron We're not dumb, buddy. We get it. It's you who doesn't get the Texas law contains those blue-leaning cities. Or you're just not listening. Or it's not as big of deal to you 🤷🏻‍♀️",Non-literary
@DanJone29920452 You have to push diversity because of people like you who say immigrants should be white only. And I didn't see Biden cheering being a minority. He was stating facts.,Literary
@TheCoomunist You?  Who are we talking about here,Non-literary
@Sharmarkei It’s me and you who should volunteers to rebuild our country. Inshallah very soon everything will turn into good.,Literary
"I used to think this place was all about pandering to your baser instincts. Now I understand. It doesn't cater to your lowest self, it reveals your deepest self. It shows you who you really are.",Literary
@Fogarichi I understand. My son just became a driver too; in just his 1st week he saw the same things! ...But thank you for all you have done! There are lots of real Americans that appreciate those like you who have done so much during these times of craziness! God bless you &amp; family!,Literary
"@RobertShippey This article in the @guardian last month actually covered the rise of young people taking up smoking during lockdown. Unfortunate news for those of us, like you, who thought this cancerous drug was on the way out
https://t.co/PYEEOKyPs6",Literary
"@Facts_chek @ANI 😂😂😂 tumlogo ki itni jalti hai. Yes they are United States people, not people like you who are hired for 100 rup per day by Congress govt to stand and 🤮",Literary
"@grInxtdoor gotta remind you who you truly belong to, haven’t i?",Literary
"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year kookfluffly 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/QoDXDUkV7R https://t.co/eLFrs1zqbt",Literary
@foden4prez @JKCorden typical people like you who can't stand to be a second without pigeonholeing and bothering someone for their musical tastes,Non-literary
There’s nothing but you who can let them in.,Literary
"@chrismcfeely Chris, sorry for the random intrusion, but I wanted to ask you: Who are the best Transformers producers and creatives?",Non-literary
"Night has end for another  day, morning  has come in a special way.  May your smile like the sunny rays. 
It is you who makes our morning wonderful and our life amazing. Good morning and have a nice day,  @Saint_sup! 😘💕

NiceDay Saint
#อรุณสวัสดิ์เซ้นต์ซุป 
#Saint_sup #MingEr https://t.co/4k6TJC8QiC",Literary
"who am i darling for you?
who am i to be your burden in time?
who am I to you?",Literary
